Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Afghanistan,11,5,6,1.61666666666667,0.0526315789473684,0.545454545454545
Djibouti,16,7,9,27.95,0.0714285714285714,0.5625
Ethiopia,16,6,10,11.8,0.0714285714285714,0.625
India,10,5,5,1.61666666666667,0.0588235294117647,0.5
Iran,12,7,5,5.63333333333333,0.0588235294117647,0.416666666666667
Kenya,9,5,4,0.983333333333333,0.0555555555555556,0.444444444444444
Niger,1,1,0,0,0.04,0
Pakistan,14,6,8,6.15,0.0666666666666667,0.571428571428571
Saudi Arabia,2,0,2,0,0.0434782608695652,1
Somalia,7,5,2,0.583333333333333,0.0526315789473684,0.285714285714286
Sri Lanka,4,4,0,0,0.0454545454545455,0
Sudan,14,7,7,7.6,0.0625,0.5
Yemen,8,4,4,2.06666666666667,0.0526315789473684,0.5
