FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
AfkB9_Afghanistan,ERR13695718,AfkB9,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkC4_Afghanistan,ERR13695719,AfkC4,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkC5_Afghanistan,ERR13695720,AfkC5,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkE3_Afghanistan,ERR13695721,AfkE3,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkE4_Afghanistan,ERR13695722,AfkE4,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkE5_Afghanistan,ERR13695723,AfkE5,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkF3_Afghanistan,ERR13695725,AfkF3,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkF4_Afghanistan,ERR13695726,AfkF4,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkF7_Afghanistan,ERR13695728,AfkF7,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkH3_Afghanistan,ERR13695729,AfkH3,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
AfkH4_Afghanistan,ERR13695730,AfkH4,2015,Afghanistan,Major,Native,34.8466,71.0973,Kunar,Kunar,Hap1,Rural,NA,Immature
